Site,Pod,DC,normal,zone
MCD_00276,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00295,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00306,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00312,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00319,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00346,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00373,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00381,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00536,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00538,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00557,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00683,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00740,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00772,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00862,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00882,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00890,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00894,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00911,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00968,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00998,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01006,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01161,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01174,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01339,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01444,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01503,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01552,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01567,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01568,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01572,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01601,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01603,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01605,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01611,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01629,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01630,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01632,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_01644,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
