Site,reason
MCD_32777, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_34833, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_35161, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_10583, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_11038, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_11279, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_11509, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_11747, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_12637, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_15446, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_16594, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_04390, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00864, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00900, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00903, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00905, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00917, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00930, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00938, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00947, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00959, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00975, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00983, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01005, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01007, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01048, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01064, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01085, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01127, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01230, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01276, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01288, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01386, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_01437, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_04690, BAR TICKET
MCD_16827, BAR TICKET
MCD_34960, BAR TICKET
MCD_10742, BAR TICKET
MCD_11038, BAR TICKET
MCD_11279, BAR TICKET
MCD_11358, BAR TICKET
MCD_11454, BAR TICKET
MCD_11603, BAR TICKET
MCD_11714, BAR TICKET
MCD_12097, BAR TICKET
MCD_12180, BAR TICKET
MCD_12229, BAR TICKET
MCD_12515, BAR TICKET
MCD_12637, BAR TICKET
MCD_14328, BAR TICKET
MCD_14530, BAR TICKET
MCD_15822, BAR TICKET
MCD_16045, BAR TICKET
MCD_04226, BAR TICKET
MCD_12203, BAR TICKET
MCD_12722, BAR TICKET
MCD_13872, BAR TICKET
MCD_11412, BAR TICKET
MCD_12075, BAR TICKET
MCD_12129, BAR TICKET
MCD_15973, BAR TICKET
MCD_25781, BAR TICKET
MCD_32777, BAR TICKET
MCD_35214, BAR TICKET
MCD_34831, BAR TICKET
MCD_11304, BAR TICKET
MCD_11879, BAR TICKET
MCD_12128, BAR TICKET
MCD_34833, BAR TICKET
MCD_03745, BAR TICKET
MCD_29543, BAR TICKET
MCD_03498, BAR TICKET
MCD_03514, BAR TICKET
MCD_03865, BAR TICKET
MCD_03907, BAR TICKET
MCD_04071, BAR TICKET
MCD_04092, BAR TICKET
MCD_04179, BAR TICKET
MCD_04404, BAR TICKET
MCD_04456, BAR TICKET
MCD_04644, BAR TICKET
MCD_04654, BAR TICKET
MCD_04738, BAR TICKET
MCD_04787, BAR TICKET
MCD_28436, BAR TICKET
MCD_11734, BAR TICKET
MCD_33793, BAR TICKET
MCD_10583, BAR TICKET
MCD_10710, BAR TICKET
MCD_10872, BAR TICKET
MCD_10874, BAR TICKET
MCD_10882, BAR TICKET
MCD_11509, BAR TICKET
MCD_11917, BAR TICKET
MCD_11971, BAR TICKET
MCD_12113, BAR TICKET
MCD_15497, BAR TICKET
MCD_16594, BAR TICKET
MCD_01437, BAR TICKET
MCD_03631, BAR TICKET
MCD_04163, BAR TICKET
MCD_04703, BAR TICKET

06-07 migration night
MCD_33950  Due to Auth Issue
MCD_01313  slow one / known one

