Site,Pod,DC,normal,zone
MCD_22468,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_22600,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_23381,9,SNA,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_23730,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24248,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24527,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24711,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25641,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25781,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25802,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26625,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26641,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26796,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_27302,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28181,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28436,9,SNA,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28453,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28578,9,SNA,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28921,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29261,9,SNA,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29295,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29543,9,SNA,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29679,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29955,9,SNA,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_30024,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_30367,9,SNA,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_31244,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
