Site,DC,Pod,normal,zone
MCD_22468,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_22600,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_23381,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_23730,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24248,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24527,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24711,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25641,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25781,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25802,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26625,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26641,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26796,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_27302,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28181,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34996,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35032,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35203,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35214,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35220,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35240,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35243,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10710,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10742,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10872,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10874,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10878,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10882,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11125,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11291,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_04787,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04951,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04952,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04979,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_05065,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_05067,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_05138,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_05231,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)

