Site,reason
MCD_07430, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_10591, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_11665, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_11683, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_11750, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_11998, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_13120, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_16090, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_17041, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_17430, MCD Maint, (GMT-05:00) Eastern Time (US & Canada)
MCD_05736, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_05870, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06020, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06446, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_06532, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_07199, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_07722, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_08020, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_10385, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_10439, MCD Maint, (GMT-06:00) Central Time (US & Canada)
MCD_00181, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00190, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00219, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00220, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00867, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_01680, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_02279, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_02671, MCD Maint, (GMT-07:00) Mountain Time (US & Canada)
MCD_00052, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00353, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00486, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00534, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00561, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00623, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00632, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00633, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00658, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00688, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00724, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00731, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00735, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00741, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00744, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00773, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00779, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00787, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
MCD_00809, MCD Maint, (GMT-08:00) Pacific Time (US & Canada)
