Site,DC,Pod,normal,zone
MCD_00201,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00383,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00837,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02604,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02917,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_04148,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_04605,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_04977,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06717,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_08059,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_08284,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10957,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10985,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11127,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11179,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02933,SNA,9,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_02956,SNA,9,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03059,SNA,9,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03140,SNA,9,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03277,SNA,9,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03319,SNA,9,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03320,SNA,9,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_00022,SNA,9,False,(GMT-08:00) Pacific Time (US & Canada)
MCD_00038,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00039,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00047,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00203,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00330,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00342,DAL,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00380,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00806,DAL,9,False,(GMT-08:00) Pacific Time (US & Canada)
MCD_00807,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00814,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00823,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00839,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00854,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00855,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00857,DAL,9,True,(GMT-08:00) Pacific Time (US & Canada)
