Site,Pod,DC,normal,zone
MCD_02275,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02276,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02286,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02291,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02292,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02299,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02306,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02342,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02351,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02352,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02424,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02426,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02430,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02437,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02466,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02490,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02514,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02526,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02527,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02557,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02559,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02560,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02563,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02582,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02598,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02605,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02612,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02614,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02617,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02646,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02657,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02658,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02666,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02675,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02687,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02692,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02699,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02702,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02741,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02765,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02768,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02774,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02779,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02787,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02788,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02790,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02795,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02808,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02814,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02842,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02852,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02854,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02859,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02869,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02870,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02907,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02913,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02923,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02942,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02965,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02999,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03003,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03006,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03021,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03027,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03063,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03085,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03113,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03125,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03126,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03128,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03138,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03153,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03191,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03196,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03215,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03240,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03263,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03289,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03308,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03314,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03335,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03354,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
