Site,Pod,DC,normal,zone
MCD_03363,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03387,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03391,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03396,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03408,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03409,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03414,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03415,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03423,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03481,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03490,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03493,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03494,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03519,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03526,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03534,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03590,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03597,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03598,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03658,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03679,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03695,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03698,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03710,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03726,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03733,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03734,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03751,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03759,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03760,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03761,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03762,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03768,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03784,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03787,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03790,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03829,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03839,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03849,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03863,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03873,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03882,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03911,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03918,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03942,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03959,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03970,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03971,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_03980,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
