Site,DC,Pod,normal,zone
MCD_36862,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_37134,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00353,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00623,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00731,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00744,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00773,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00809,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00900,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00905,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00917,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00947,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00975,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00983,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01064,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02637,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02655,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02766,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02902,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02932,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02934,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03022,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03100,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03331,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03373,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03413,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03471,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03473,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03492,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03554,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03556,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03562,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03567,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03797,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03813,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_03363,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
