site,Pod,DC,normal,zone
MCD_06054,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06055,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06075,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06078,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06086,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06087,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06090,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06114,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06130,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06135,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06150,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06151,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06162,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06168,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06201,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06219,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06237,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06281,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06288,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06290,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06335,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06439,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06466,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06583,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06624,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06640,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06642,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06666,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06719,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06732,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06767,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06807,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06840,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06850,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06866,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06871,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06893,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06899,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06901,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06902,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06978,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06983,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07021,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07025,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07066,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07126,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07160,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07175,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07200,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07224,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07242,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07245,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07247,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07280,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07303,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07362,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07394,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07453,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07454,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07465,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07471,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07482,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07571,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07573,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07595,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07620,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07632,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07650,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07651,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07652,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07706,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07717,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07718,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07729,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07743,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07810,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07857,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07888,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07931,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07939,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07946,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07970,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07991,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_08003,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_08017,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00015,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00029,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00032,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00053,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00063,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00071,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00076,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00078,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00080,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00087,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00090,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00091,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00093,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00119,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00121,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00122,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00132,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00135,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00144,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00154,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00159,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00162,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00164,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00165,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
